イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
3,裏,1,1,2,-,○,-,吉野京士郎,北陸大学,右,伊藤 航太,福井工業大学,左,スライダー,,4,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,1,2,2,-,○,-,吉野京士郎,北陸大学,右,伊藤 航太,福井工業大学,左,ストレート,,4,内角,インプレー,1,1,1,1,1,,-,単打,ライナー,左翼手,0,1,1,2,
3,裏,0,0,2,○,-,-,吉野京士郎,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,5,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,中堅手,0,0,0,0,
3,裏,0,0,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,0,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,スライダー,,6,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,1,1,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,1,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,2,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,チェンジアップ,,8,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,2,2,2,○,○,-,吉野京士郎,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,4,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,
4,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,4,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
4,表,0,1,0,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,12,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
4,表,1,1,0,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,7,内角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
4,表,1,2,0,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,チェンジアップ,,8,真ん中,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
4,表,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
4,表,1,0,1,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
