イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
6,裏,0,1,0,○,-,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
6,裏,0,1,0,○,-,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,1,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,フォーク,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,2,1,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,2,2,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,ストレート,,4,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,裏,2,2,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,3,2,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
6,裏,3,2,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,ストレート,,7,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,裏,3,2,0,-,○,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,カーブ,,2,,インプレー,1,1,1,1,1,,-,単打,フライ,中堅手,0,1,1,0,
6,裏,0,0,0,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,0,0,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,ストレート,,2,内角,インプレー,1,1,1,0,1,,-,エラー,ゴロ,三塁手,0,0,0,0,
6,裏,0,0,0,○,○,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,0,0,○,○,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
